Published,User,Comment,comment_trans
2023-11-23T16:22:09Z,@layartanpabatas7094,Tolak Rohingya. Mereka kalau diterima mereka akan menghubungi kawan2nya dan akan lebih banyak lagi yg akan datang kesini. Mereka itu bayar utk kesininya bukan terdampar. Mereka kalau sdh banyak mereka akan menguasai dan mengusir warga lokal seperti yang telah terjadi di Palestina,Reject Rohingya. If they are accepted they will contact their friends and more will come here. They paid for the situation not to be stranded. If many of them will master and expel local residents as happened in Palestine
2023-11-23T16:22:04Z,@automotivea7x,"Ko bisa ya nyebrang ke indonesia, apa gak ada penjagaan kemanan di sana??","How come you can cross to Indonesia, is there no security for security there ??"
2023-11-23T10:30:16Z,@AyongHendra-zh4nc,Su su susu,Su milk
2023-11-23T10:11:48Z,@AyongHendra-zh4nc,Sasatata,Sasatata
2023-11-23T09:48:24Z,@AyongHendra-zh4nc,Sotoso soot sotoso soot sotoso soot sotoso www,Sotoso Soot Sotoso Soot Sotoso Soot Sotoso www
2023-11-23T07:15:36Z,@andrianiandriani831,Jgn di terima .nanti knyak Israel .. watak keras itu,Don't accept.
2023-11-23T05:25:43Z,@clevercloud7055,"Kemana tuh sdr seiman yg dulu (6 th lalu) demo dan bela mati2an rohingya, ajaklah sambutlah rohingya nya bawa plg rumah, jgn diusir. Jgn selagi mrk disebrang lautan anda bela, dikala sampai pintu rmh mu diusir. Munafik namanya.","Where is that the first faith (6 years ago) Demo and Defending the Rohingya Dead, invite the Rohingya to bring the house, don't be expelled. Don't while they are across the ocean you defend, when you get your RMH door. Hypocritical name."
2023-11-23T03:55:34Z,@lombardioleflash5511,Gila..dilemma ya..😢😢😢,Crazy..dilemma yes..😢😢😢
2023-11-23T01:57:01Z,@user-wp1cc7ku7w,"Bangsat, Biadab, Laknat Kalian yg koar-koar Palestina Israel Hamas di YouTube2, pulau kami yg dapat imbasnya!!<br><br>Jemput mereka dari tempat kami bawa ketempat kalian...!!!!!","Bastard, barbaric, your cursing is the Palestinian Israel Hamas on Youtube2, our island can be the impact !! <br> <br>"
2023-11-23T01:53:19Z,@user-wp1cc7ku7w,"Ayoo UAS dan kawan-kawan kasihan mereka;  ambil mereka, bawa mereka  ketempatmu<br>cuma ratusan tidak sampai ribu","Ayoo uas and friends sorry for them; take them, bring them to your place <br> only hundreds of not up to thousands"
2023-11-22T19:39:12Z,@void.00,Ingatlah saudaraku yg ada di aceh.. lihatlah seperti Israel atas tanah palestina.. JANGAN SAMPAI TANAH INDONESIA DIKUASAI ORANG ASING.. SEPERTI ISRAEL MENJAJAH PALESTINA,Remember my brother who is in Aceh .. Look like Israel for Palestinian land ... Do not let the land of Indonesia be controlled by foreigners .. like Israel colonized Palestine
2023-11-22T19:35:22Z,@soimsuwari6501,"Yg belum pernah kumpul rohingya ni pasti merasa <a href=""http://kasian.tp/"">kasian.tp</a> setelah kumpul. Baru akan tau.mereka ini kalau di kasi ruang. Mereka sangat kurang ajar. Saya lama kumpul mereka2 di malaysia. Laki perempuan.semua sama. Sifatnya sangat buruk.","Those who have never gathered the Rohingya will definitely feel <a href=""http://kasian.tp/tention. Just will know. They are in the room. They are very insolent. I gathered for a long time in Malaysia. Female. All the same. Very bad."
2023-11-22T17:18:18Z,@El_Colibri,"Waduh, knp ditolak? Mrka adlah teman seakidah umat muslim. Ga kebyang klo warga palestine mengungsi dan ditolak sprti ini. Sungguh tega.","Wow, why is it rejected? MRKA is a friend of Muslims. Ga Kebyang if Palestine citizens are displaced and rejected like this. How could it be the heart."
2023-11-22T14:58:28Z,@Dimsum-dp5pz,"Terima dong mereka Muslim juga, spt palestina... kasian, jgn pilih2","Accept they are Muslim too, like Palestine ... sorry, don't choose"
2023-11-22T14:31:23Z,@chivasdj1905,"Tolak Rohingnya diindonesia, dikasihani makin menjadi jadi","Reject Rohingnya in Indonesia, being pitied more and more become"
2023-11-22T07:24:59Z,@agoenxsaz725,"Jadi ingat peristiwa black September 1970 warga Yordania menerima pengungsi Palestina,yang akhirnya warganya semakin banyak bhkan sampai disebut negara didalam negera , sampai mncoba 2 kali kudeta raja Yordania.. Naidzubillah mindzalik","So remember the events of Black September 1970 Jordanians accepted Palestinian refugees, which in the end their citizens more and more until they were called domestic countries, until they tried 2 times the King of Jordan. Naidzubillah Mindzalik"
2023-11-22T05:54:40Z,@WahyuDenden-wg5sr,Takutnya nanti malah jadi masah di indonesia nanti mereka meyebar bagaimana nantinnya akan menyaingi warga indobesia sendiri,Afraid that later they will become masah in Indonesia later they will spread how the nantin will rival the people of Indonesia himself
2023-11-22T04:04:38Z,@shahrol6747,"Lebih baik dihalau.. Kerana mereka ini bangsa yg kurang ajar.. Mereka dibunuh di myammar bukan kerana mereka islam tetapi kerana mereka kurang ajar, asal mereka dari Pakistan dan mungkin mereka sering dihalau kerana mereka adalah bangsa kurang ajar..","Better to be driven ... because of them this is a nation that is insolent ... they are killed in Myammar not because of their Islam but because they are insolent, as long as they are from Pakistan and maybe they are often driven because they are a brash nation .."
2023-11-22T02:10:14Z,@ifahoryza6739,Sebenarnya sedih juga tp MW gmna lg😢,"Actually it's sad too, but how come you're"
2023-11-22T01:21:23Z,@yayariswayakuya4175,SEMOGA DI BALAS DENGAN AZAB TSUNAMI KEDUA YANG LEBIH GANAS,Hopefully in reply with the second tsunami punishment that is more fierce
2023-11-21T16:59:29Z,@nyanadarmaanderson2582,"Warga Aceh sgt baik dan berhati mulia, dahulu kala inisiatif menarik mereka dari laut ke daratan walaupun belum ada izin negara, demi kemanusiaan dan Saudara SATU IMAN. <br>Semoga berkelanjutan dan pahala besar akan datang dari Tuhan yang maha Esa.<br>Amin…!!!","Aceh residents are good and noble -hearted, in the past the initiative attracted them from the sea to the mainland even though there was no state permit, for the sake of humanity and brother of one faith. <br> Hopefully Sustainable and Great Rewards will come from God Almighty. <br> Amen ... !!!"
2023-11-21T15:57:35Z,@nanangnanang4542,Hati hati saja jangan asal menerima efek kelanjutan harus diperhatikan,"Be careful, don't just accept the effect of the continuation must be considered"
2023-11-21T14:51:33Z,@rizkyputriseptihandini6063,"Yang jadi wni aja mau tinggal harus beli tanah dan rumah, eh wna seenaknya mau numpang.. enak aja","The one who is a citizen just want to stay have to buy land and houses, eh, foreigners want to ride ..."
2023-11-21T14:29:52Z,@alizaralizarali2181,"Warga Aceh sudah sangat baik sudah ribuan warga Rohingya di tampung, gak akan sanggup warga Aceh jika selalu ada lagi yg di tampung..bagi warga Rohingya yang gak bisa di tampung lebih baik silahkan cari negara lain","Acehnese people are already very good that thousands of Rohingya residents have been accommodated, will not be able to be able to be in Acehnese if there are always more accommodated ... for Rohingya residents who cannot be accommodated better please find another country"
2023-11-21T08:18:34Z,@armanaku3423,inilah tuhan mmberi ujian pd makluknya. sejauh mana..hati tergugah menghadapi..insan  seagama..yng sngt menyedihkan inii..rl tinggl kan kmpung..menggadai nyawa  hnya ingin  smbung hidup...smg pemerintah  peduli  atas nasib mereka... mg tuhan mmbuka jlan.  bg makluknya yng lg kesusahaan.,"This is God, giving the examination of his creatures. To what extent ... I was intrigued to face ... Insan was a religion ... so sad ... I stayed at the time ... BG is a creature again."
2023-11-21T07:06:14Z,@niaramadani4594,Y usir&quot;.... Ajh 🤗👍👍👍👍👍 cakepppp masyarakat aceh pinter banget 👍👍👍👍🤗,Y and quoting; .... ajh 🤗👍👍👍👍👍 Cakepppp Aceh community is very clever 👍👍👍👍🤗
2023-11-21T03:41:05Z,@ADF11,Usir Rohing nya..di aceh jangan sampai pribumi di campur.baur dgn mereka BISA rusak.keturunan kita sbg bangsa indonesia.<br>Pertahankan tanah pribumi dari ASING.<br>Jangan mau di bodohi dgn saudara seiman..<br>Harus tegas usir penjajah ROHING NYA.dan siapapun itu di tanah indonesia.,"Speak the Rohingnya ... in Aceh, not to be native to be mixed. firmly kissed the Rohingan colonizers. And whoever was in the land of Indonesia."
2023-11-21T02:49:33Z,@belarosma4902,"Kasihan, tapi mereka sudah di bantu malah bikin gak enak warga setempat, Ya Allah mudah mudahan mereka dapat tempat yang cocok dengan mereka tuk bisa menjalani kehidupan mereka. Mudah mudahan PBB merhatikan mereka.","Poor, but they have been helped even make the local residents uncomfortable, O God, hopefully they can be a place that suits them to be able to live their lives. Hopefully the UN pays attention to them."
2023-11-21T00:16:07Z,@revochanel1542,"Pindah kan aja kepulau yang masih belum ada penghuninya, lalu bantu mereka untuk membangun kehidupan disana","Just move to the island that still has no inhabitants, then help them to build life there"
2023-11-20T17:24:30Z,@sems3037,Exsodus 😂 lama lama ia akan menggeser penduduk asli pribumi wkw,Exsodus 😂 For a long time he will shift the indigenous natives
2023-11-20T17:22:03Z,@lasmisohail4905,Berarti Ada ketua nya kalau sampai berulang x sperti jaringan karena tau orang Indonesia itu baik2 sementara mereka Itu tdk baik kalau Di ksh hati minta jantung,Means that there is a chairman if it repeats X like the network because you know the Indonesian people are fine while they are not good if in the heart asking for a heart
2023-11-20T17:18:59Z,@pureenlightmen,Disuruh balik ke laut? Lanjut ke saja cari negara Kristen.... Tapi di semenanjung melayu gak ada negara kristen. 😢,Told to return to the sea? Just continue to find a Christian state ... but on the Malay Peninsula there is no Christian country. 😢
2023-11-20T15:17:41Z,@satria88entertainment40,Kyaknya yg komen orang non muslim semua,It seems that all non -Muslim commented
2023-11-20T12:47:02Z,@user-jf1ol3ws8g,MOHON MAAF YA UMATKU DARI ROHANIYA....SEKARANG MEMANG ALLAH SWT ASLI MASIH MENGHADAPI KASUS KASUSNYA NAMA NAMA ALLAH PALSU....SEHINGGA BANTUAN ALLAH SWT ASLI. TERHADAP UMAT NYA LAMBAT....,"Sorry, my people from Rohaniya .... now indeed Allah SWT is still facing the case of the name of the name of the Fake Allah .... so that the help of Allah SWT is original. Against the people slowly ...."
2023-11-20T12:40:46Z,@user-jf1ol3ws8g,MEMANG ORANG ACEH UTARA  DASAR ORANG BODOH....SALAM KOMENTAR DARI ATASAN KOMANDO INTEL JEND NAMA ALLAH SWT ASLI....2023......KALAU AMALNYA ORANG ACEH. BELUM CUKUP AMALNYA....ALLAH SWT ASLI AKAN MENGUSIR ORANG ACEH UTUARA DARI TANAH INI...INGAT ITU....,"Indeed, North Aceh people basic stupid people .... Greetings comments from the Intel Command Tops of the Name of Allah SWT Original .... 2023 ...... if the deeds are Acehnese. Not enough charity .... Allah SWT will drive out the Aceh people from this land ... remember that ...."
2023-11-20T10:59:16Z,@patanganteng3125,"Sebetulnya kasihan juga ,tapi indonesia harus hati hati kalsu dana menerina nereka du dini yakutnys mrmbawa masalah di yg akan datangm","Actually, sorry too, but Indonesia must be careful of KALSU DANA ACCORDING to them"
2023-11-20T10:30:40Z,@user-bq1im5pc5k,Manusia jg bah tuu.uu.u,Humans are also tuu.uu.u
2023-11-20T09:11:34Z,@edwinmony5663,Hati hati jangan begitu percaya kepada orang imigran dr negara lain ..jangan sampai rakyat pribumi indonesia d jajah secara perlahan oleh imigran dr negara lain.,Be careful do not really believe in immigrants from other countries ... do not until the indigenous people of Indonesia in Jajah slowly by immigrants from other countries.
2023-11-20T06:25:11Z,@koboi_tanah5874,😂😂haha ...dulu hina malaysia😂sekarang😂😂,😂😂haha ... used to be despicable Malaysia😂😂😂
2023-11-20T05:52:40Z,@ebegmedia3288,"Ya ampun itu hama datang lagi , sudah di tolak ko maksa , itu namanya perampokan , tidak pantas bagi umat muslim memaksa yg  jelas jelas tek memperbolehkan .hukumnya haram","Oh my gosh, pests come again, already rejected, ko forced, it is called robbery, inappropriate for Muslims to force clear"
2023-11-20T05:50:36Z,@eddiebrock5408,bom aja di tengah laut bgst bikin gedeg aja,just a bomb in the middle of the sea just make a big
2023-11-20T05:43:41Z,@warjito9217,Bagus warga aceh tolak aja bukan masalah kemanusiaan atau apa tapi kalo merekah sampe tinggal di aceh pasti besar hati dan semena mena duluh aku satu penjara migrasi malasia ketemu dengan warga rohingiya sombongnya bukan main dia ran teman temanya selalu bikin rusuh supaya dia tetep bisa di dalam penjara sebab dia kallo balik kampung pasti di tembak,"Good Acehnese Reject it is not a matter of humanity or anything but if you break until living in Aceh, it must be great and arbitrarily me, I am a prison migration of malasia to meet with the arrogant Rohingiya. Because he is back to the village, he must be shot"
2023-11-20T04:53:37Z,@MBOKRT,MANTAP TOLAK SAJA,Great just refuse
2023-11-20T03:12:29Z,@bitbitbitbit,katanya saudara seiman kok gitu sih😂,"he said, my faith is like that."
2023-11-20T01:55:39Z,@user-du3ky3nu7r,"Hati hati warga aceh, takut di jajah","Be careful of the people of Aceh, afraid of the jajah"
2023-11-20T01:50:44Z,@thelion706,"Betapa hebatnya Myanmar sekian puluh tahun &quot;dijajah&quot; Rohingya.  Saat Myanmar mengatakan &quot;enogh is enough&quot; dan mengusir Rohingya agar balik ke Bangladesh,  Ind yg mayoritas muslim marah dan minta agar Rohingya diterima di Ind. Dan Aceh salah satu yg berkeras menerima. Dan skrg Aceh yg berkeras menolak Rohingya. Stlh mengalami langsung br tahu.","How great Myanmar has been for decades & quot; Rohingya. When Myanmar said & quot; enogh is enough & quot; And expel the Rohingya to return to Bangladesh, Ind, the majority of Muslims are angry and ask that Rohingya are accepted at Ind. And Aceh one who insisted on accepting. And now Aceh who insisted in rejecting Rohingya. After experiencing directly Br knows."
2023-11-20T00:16:54Z,@timnasgaruda1545,"Muslim rohingya di nilai sangat merepotkan warga Aceh,begitu juga dengan palestina,sangat merepot kan,mungkin itu lah yg di rasakan warga Aceh","Rohingya Muslims are very troublesome for Acehnese, as well as Palestine, very troublesome right, maybe that's what the people feel"
2023-11-19T23:53:40Z,@vladimirbojinov7531,"Dulu Yahudi sehabis PDII seperti mereka saat datang ke Palestina, lama², tau sendiri kan?","It used to be Jews after PDII like them when they came to Palestine, for a long time, you know for yourself right?"
2023-11-19T23:50:29Z,@Top_global01,"Ketakutan yang berlebihan hingga menolak mereka yang membutuhkan pertolongan.<br>Sementara mereka kaum muslimin saudara kita.<br>Kalau bukan kita yang menolong,lalu siapa????<br>Tidak adakah Pulau kosong yang bisa mereka huni,atau lahan kosong pemerintah untuk mereka hidup??<br>Atau tidak adakah solusi tepat untuk mereka,selain menolak mereka.<br>Jangan buat malu bangsa muslim terbesar di DUNIA 😢😢😢","Excessive fear to reject those who need help. the government for them to live ?? <br> or not is there a right solution for them, besides rejecting them. Don't make the biggest Muslim nation in the world 😢😢😢"
2023-11-19T22:59:44Z,@azamazam7719,Biadap acehhhhh,BIADANG ACEHHHHH
2023-11-19T20:08:02Z,@ugbadomar5881,سبحان الله وبحمد سبحان الله العظيم,سبحان الله وبحمد سبحان الله العظيم
2023-11-19T19:12:16Z,@edhoyeager,"AKU PUNYA IDE, INDONESIA KAN MEMPUNYAI RIBUAN PULAU, LALU BERI MEREKA 1 PULAU KOSONG UNTUK JADI TEMPAT TINGGAL MEREKA LALU KASIH MEREKA MERDEKA ,KAN TUJUAN ROHINGYA INGIN KAWASAN DAN INGIN MERDEKA.<br><br>JADIKAN PULAU ITU NEGARA TAPI SISTEM PEMERINTAHAN DAN PRESIDEN HARUS DIPEGANG KENDALI OLEH ORANG INDONESIA.<br><br>CONTOH KASIH NAMA NEGARA REPUBLIK BANGLADO, NEGARA SEMAKMURAN INDONESIA, DAN HARUS PAKAI BAHASA INDONESIA.<br><br>GUA SIH YAKIN NEGARA BANGLADO BISA MENYAINGIN SINGAPORE😎👍","I have an idea, Indonesia has thousands of islands, then give them 1 empty island to be their residence and then love them independent, right Rohingya want to want the region and want to be independent. <br> <br> Must be held in control by Indonesians."
2023-11-19T19:09:27Z,@userbaru5358,hallo apakah kasihanmu besok di balas kasihn jg .....nononono dia kn jd penggusur warga pribumimu.hari gini mikir belas kasihn ...😂😂😂,Hello is your pity tomorrow in reply to love too ..... Nononono he is a native citizen.
2023-11-19T18:45:18Z,@putunembahkakung4953,"Komen di YT lebih waras dari pada yg di FB, banyak orang² sok bijak di FB","Comments on YT are more sane than those in FB, many people pretend to be wise on FB"
2023-11-19T18:25:39Z,@MahdanLubis,Bom aja pengungsi itu,Just the refugee bomb
2023-11-19T18:17:35Z,@handsomemonkey9282,"Dulunya warga Aceh sangat antusias membantu pengungsi Rohingya, tapi lama kelamaan jadi kesal karena sulit diatur dan mereka cenderung mencela Indonesia dengan membandingkannya dengan Australia yg katanya kalau jadi warga negara Australia hidupnya akan lebih mapan.<br>Tapi syukur lah masyarakat masih berbaik hati dengan memberi mereka bekal.","Formerly, Acehnese people were very enthusiastic to help Rohingya refugees, but over time it became upset because it was difficult to regulate and they tend to criticize Indonesia by comparing it with Australia which he said, if he became an Australian citizen, his life would be more established. But thankfully the community was still kind by giving They are provided."
2023-11-19T18:12:03Z,@lulin131,kalo terjadi apa&quot; Mereka diatas laut setelah kalian usir dunia ahirat kalian akan sangat berdoza,if what happens & quot; They are above the sea after you kicked out the world of ahirat you will be very praying
2023-11-19T17:53:08Z,@virgotekcomputer,Sekarang kalian tahu alasan negara-negara Arab di sekeliling Palestina yang menolak pengungsi dari Palestina.  Untunglah ada contoh nya untuk ngajarin orang-orang yang teriak-teriak Free Palestine.,Now you know the reason for Arab countries around Palestine who reject refugees from Palestine. Luckily there is an example to teach people who are screaming free Palestine.
2023-11-19T17:07:20Z,@ropik3376,ya allah sedih rasanya...smoga bangsa indo selalu sejahtra tidak seperti mereka.dan merekq semoga punya tempat yg layak.,"O God, it's sad ... I hope the indo people are always not like them. And they hope that they have a decent place."
2023-11-19T16:57:16Z,@arifrahmat8717,"Orang indonesia cenderung membela orang palestina secara mati-matian. Tapi kenapa orang rohingnya yg mau jadi pengungsi malah diusir? Padahal kan mereka banyak kesamaannya, seperti:<br><br>1. Etnis rohingya dan orang palestina sama-sama beragama islam.<br>2. Etnis rohingya dan orang palestina sama-sama terancam di negaranya sendiri.<br>3. Etnis rohingya dan orang palestina sama-sama hanya ingin bebas dari malapetaka yang disebabkan oleh konflik/peperangan.<br><br>Berdasarkan keterangan di atas, saya menjadi semakin bingung mengapa bisa ada dua jenis perlakuan yg berbeda dalam kondisi yang sama.","Indonesians tend to defend Palestinians desperately. But why did the Rohingya who want to be a refugee instead was expelled? Even though they have many similarities, such as: <br> <br> 1. Rohingya ethnic and Palestinians are both Muslim. <br> 2. Rohingya ethnic and Palestinians are both threatened in their own country. <br> 3. The Rohingya ethnic and Palestinians both just want to be free from disaster caused by conflict/war. <br> <br> Based on the information above, I became more confused why there could be two different types of treatments under the same conditions."
2023-11-19T16:39:29Z,@upstory2024,Pengungsi palestina pun harus di tolak,Palestinian refugees must be rejected
2023-11-19T16:01:31Z,@HailtoTheKing874,"Usir jgn dikasi tempat.<br>Itu semua kumpulan manusia biadab,ditolong skrg esok dibunuhnya kalian.suruh mereka mengungsi ke tmpat lain,jgn sekali² dikasi tempat.","Disconnect not to be given a place. <br> Those are all a group of savage people, helped by tomorrow you are killing."
2023-11-19T15:42:35Z,@safayun5411,Harus ada solusi bantu saudara seiman semoga Alloh jauhkan bahaya &amp; musibah spt tsunami tempo hr &amp; gempa” lainnya. Ingatlah Alloh ketika senang &amp; bertawakallah. Semoga Alloh limpahkan rahmatnya dr arah yg tak disangka”.,"There must be a solution to help your faith, hopefully Allah keeps keeping the dangers & amp; Disaster like Tsunami Tempo HR & amp; Another ""earthquake. Remember Allah when happy & amp; Trust. May Allah bestow his grace from unexpected direction ""."
2023-11-19T15:41:14Z,@syahrinabubakar1801,Yang aku heran kenapa orang Melayu boleh tinggal di Burma sana tidak pulak melarikan diri balik Malaysia...,"What I wonder why Malays can live in Burma there, not run away from Malaysia ..."
2023-11-19T15:09:26Z,@siboysajogja7609,usir aja...BERBAHAYA ITU BISA2 SEPERTI ISRAEL...NGUSIR PENDUDUK PALESTINA,just get rid of ... dangerous it can be like Israel ... Eventing the Palestinian population
2023-11-19T14:57:24Z,@dedikusuma6795,LEMAH NYA PERTAHANAN KELAUTAN KITA. BIKIN MALU,We are weak in our marine defense. Shame
2023-11-19T14:38:52Z,@areenarena,Salam dari malaysia.  Rasain kalian. Dahulu hina malaysia itu ini .,"Greetings from Malaysia. Feel you guys. In the past, this Malaysian despised."
2023-11-19T14:29:55Z,@rampadvocate3849,"Berarti kalau palestina juga datang ke indonesia , pasti diusir... 😂😂😂😂","Means that Palestine also comes to Indonesia, it must be expelled ... 😂😂😂😂"
2023-11-19T14:28:09Z,@MorodokEpsision,"Yang bilang kasihan, ga punya rasa kemanusiaan, jelekin org Aceh karna nolak....silahkan Lo tampung sendiri d rumah dan tanah lo, jgn bisanya nyuruh orang saja..","Who said sorry, did not have a sense of humanity, ug you bad people because they refused .... please accommodate yourself in your house and land, don't usually tell people ..."
2023-11-19T14:21:08Z,@lucynanta482,Lebih baik tolak saja..... Nanti takutnya malah ngelunjak mending cari aman aja deh,It's better to just reject ..... I'll be afraid that I will even see me better to find it safe
2023-11-19T14:20:24Z,@darmaone8129,"Mereka bukan terdampar..ini jelas sudah terorganisir..sebab bukan sekali dua kali..,jika tidak salah ini udah gelombang ketiga...dan hal ini terjadi di negara lain juga",They are not stranded ... this is clearly organized ... because it's not once or twice ... if I'm not mistaken this is already the third wave ... and this has happened in other countries too
2023-11-19T13:32:55Z,@handri1457,Katanya saudara..maaf yaa rohingya...hanya palestina aja yg saudara😂😂😂😂,He said brother ... sorry yes the Rohingya ... only Palestinians are brothers and sisters
2023-11-19T12:58:04Z,@pakimron5209,Pasti pengungsi Rohingya pernah berbuat  kesalahan sehingga di usir dr negaranya,Surely Rohingya refugees have made a mistake so that he was expelled from his country
2023-11-19T12:36:38Z,@harriyolandi9862,Ya Allah berikah mereka tempat di indonesia..mereka muslim..kasihan mereka..berilah mereka pulau kecil,"O God, they have a place in Indonesia ... they are Muslim ... they are pity ... they are small islands"
2023-11-19T12:26:48Z,@riannunuhitu3327,Yg jadi pertanyaan knapa mereka ditindas di negara sendiri sampai mengungsi,Who became the question because they were oppressed in their own country to evacuate
2023-11-19T12:19:12Z,@dwisur5094,"Kedepannya kita TDK tahu...drpd nnti timbul byk konflik dan timbul kriminalitas, konflik etnis, mending dipulangkan ke negara asal nya sana. Dilihat juga orangnya TDK produktif cenderung pasif. <br><br>Takutnya juga setelah merasakan enak di Aceh.. mereka mengundang Rohingnya Rohingnya utk berbondong bondong DTG ke Aceh dgn ratusan orang lagi. Semrawut yg jelas.","In the future, we don't know ... Dr. Also seen people are not productive tend to be passive. <br> <br> Afraid also after feeling good in Aceh ... they invited the Rohingnya Rohingnya to flocked to Aceh with hundreds of more people. Clear chaotic."
